array,subsite,node,sensor,delivery_method,reference_designator
CP,CP05MOAS,GL336,03-CTDGVM000,telemetered,CP05MOAS-GL336-03-CTDGVM000
CP,CP05MOAS,GL336,04-DOSTAM000,telemetered,CP05MOAS-GL336-04-DOSTAM000
CP,CP05MOAS,GL336,05-PARADM000,telemetered,CP05MOAS-GL336-05-PARADM000
CP,CP05MOAS,GL336,02-FLORTM000,telemetered,CP05MOAS-GL336-02-FLORTM000
CP,CP05MOAS,GL336,03-CTDGVM000,recovered,CP05MOAS-GL336-03-CTDGVM000
CP,CP05MOAS,GL336,04-DOSTAM000,recovered,CP05MOAS-GL336-04-DOSTAM000
CP,CP05MOAS,GL336,05-PARADM000,recovered,CP05MOAS-GL336-05-PARADM000
CP,CP05MOAS,GL336,02-FLORTM000,recovered,CP05MOAS-GL336-02-FLORTM000
